permutation,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(103)),LogisticRegression,0.9950464082779299,0.963347107637116,0.9691300280636109,0.9500167728950016,0.9612403100775193,0.9431042330450614,0.9978858350951374,0.9923451635351427,0.9966329966329966,0.9065300896286812,0.9320261437908497,248499.72599735414,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(104)),LogisticRegression,0.994687783331572,0.9628721581542662,0.9688047669120224,0.9429246876055386,0.9671140939597316,0.9420586230402181,0.997855611150822,0.9937931034482759,0.9971139971139971,0.8937259923175416,0.9418300653594771,251896.1009760641,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(105)),LogisticRegression,0.9944558091796388,0.9612456928568623,0.9674559664061589,0.9475806451612903,0.9583192138258217,0.9392978482446206,0.9971711456859972,0.9950738916256158,0.9973544973544973,0.9026888604353394,0.9241830065359478,251185.99403154367,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(106)),LogisticRegression,0.9952175883078341,0.9643131527026912,0.9699239321240491,0.9480388870264834,0.9656796769851951,0.9446090722589469,0.9950738916256158,0.9951456310679612,0.9966329966329966,0.9052496798975672,0.9379084967320261,250766.5976284378,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(107)),LogisticRegression,0.9949248689189042,0.962785568594503,0.968728121353559,0.9520616828695945,0.9575839837122497,0.9408431550317317,0.9992962702322308,0.9957657021877205,0.9983164983164983,0.9090909090909091,0.9222222222222223,252774.8763111059,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(108)),LogisticRegression,0.9951483841939627,0.9639029825637788,0.969576410016382,0.9487437185929649,0.9639609296059279,0.9441659070191432,0.9950808151791989,0.9944405837387075,0.9963924963924964,0.9065300896286812,0.9352941176470588,249866.47540701623,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(109)),LogisticRegression,0.9944443543179766,0.9614956301423927,0.9677193800256381,0.9449881876476545,0.9614343707713127,0.938729369206421,0.9992862241256245,0.9964936886395512,0.9985569985569985,0.8962868117797695,0.9287581699346406,250703.85226442112,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(110)),LogisticRegression,0.9948459891408717,0.9631697787780572,0.9690601284296556,0.9450993600538902,0.9656102494942684,0.9416836850465169,0.9971570717839374,0.9972144846796658,0.9980759980759981,0.8982074263764405,0.9359477124183007,249757.50559173094,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(111)),LogisticRegression,0.9942737286590836,0.9606736757152555,0.9670355270821199,0.946446615021893,0.957909029192125,0.9376552970408855,0.9985785358919688,0.9964689265536724,0.9983164983164983,0.8994878361075545,0.9222222222222223,253691.73975665285,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(112)),LogisticRegression,0.994881124593611,0.9632997881562221,0.9691948658109685,0.9453441295546559,0.9656102494942684,0.9412964641885766,0.9992867332382311,0.9972144846796658,0.9987974987974988,0.8969270166453265,0.9359477124183007,253057.5921046845,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(113)),LogisticRegression,0.9947177240470165,0.9626103065957432,0.9685784370984698,0.9449881876476545,0.9643817204301075,0.9416307063365887,0.9992862241256245,0.9923928077455049,0.9971139971139971,0.8962868117797695,0.9379084967320261,249111.0967539469,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(114)),LogisticRegression,0.9955502622056064,0.9652901416407094,0.9707875671885954,0.9524447421299397,0.9634641407307172,0.9440909090909091,0.9985955056179775,0.9985974754558204,0.9990379990379991,0.910371318822023,0.930718954248366,254363.46553744195,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(115)),LogisticRegression,0.9955160714114043,0.9658223675199781,0.9711673699015472,0.9475806451612903,0.9699197860962565,0.9471879286694102,0.9971711456859972,0.9924760601915185,0.9963924963924964,0.9026888604353394,0.9483660130718954,248531.46937035385,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(116)),LogisticRegression,0.9946743972505615,0.962083662221854,0.9681260945709281,0.9476158495634655,0.9604328711531958,0.9407760381211708,0.9964689265536724,0.9950946040644709,0.9971139971139971,0.9033290653008963,0.9281045751633987,250471.21994054207,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(117)),LogisticRegression,0.9940631042397364,0.9603754065822663,0.9667948269835722,0.9419311276164753,0.9617597292724196,0.9376271186440678,0.9964285714285714,0.9971929824561403,0.9978354978354979,0.8930857874519846,0.9287581699346406,249669.8502510942,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(118)),LogisticRegression,0.9942252734668474,0.96079481480338,0.967148182665424,0.9436001350894968,0.961082910321489,0.937867148666968,0.9985704074338814,0.9964912280701754,0.9983164983164983,0.8943661971830986,0.9281045751633987,250668.8534945245,1,8,2,42,0.5,100000
