permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(30000),LogisticRegression,0.9766313883969805,137571.81126166883,1,8,1,42,1.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(42)-fa(1)-max(100000),LogisticRegression,0.9784874565044412,226937.2935115212,1,8,1,42,1.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(20000),LogisticRegression,0.7110533541938113,116522.92456953051,1,8,1,42,2.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(30000),LogisticRegression,0.7277331153316406,123943.01613663122,1,8,1,42,2.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(42)-fa(2)-max(100000),LogisticRegression,0.7297864504758754,174868.3053641608,1,8,1,42,2.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(20000),LogisticRegression,0.3779820432492915,105928.83779482498,1,8,1,42,3.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(30000),LogisticRegression,0.39849569612420743,108938.77162267116,1,8,1,42,3.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(42)-fa(3)-max(100000),LogisticRegression,0.41235671012275166,125533.14647926007,1,8,1,42,3.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(20000),LogisticRegression,0.9357292962587064,130159.02652676548,1,8,1,60,0.1,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(30000),LogisticRegression,0.9359061554780781,145346.73062444964,1,8,1,60,0.1,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.1)-max(100000),LogisticRegression,0.9340289168133862,266785.2291856901,1,8,1,60,0.1,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(20000),LogisticRegression,0.9809569967449693,126329.48634230548,1,8,1,60,0.25,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(30000),LogisticRegression,0.9825030937650223,142946.57464983224,1,8,1,60,0.25,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.25)-max(100000),LogisticRegression,0.9817040324111909,259286.6742326214,1,8,1,60,0.25,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(20000),LogisticRegression,0.9952994155479641,126461.00693561733,1,8,1,60,0.5,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(30000),LogisticRegression,0.9960681401303841,140811.50816778778,1,8,1,60,0.5,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.5)-max(100000),LogisticRegression,0.9958659468392189,249377.91605629848,1,8,1,60,0.5,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(20000),LogisticRegression,0.9931687985223062,124586.58233892772,1,8,1,60,0.8,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(30000),LogisticRegression,0.9898587114818628,137136.2666601196,1,8,1,60,0.8,30000
