permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.112943200973529,0.37217894463411433,0.39127764127764125,0.3506811037373384,0.3709844559585493,0.4054742202418842,0.3476454293628809,0.3599195710455764,0.37804154302670623,0.3537702607470049,0.3827512473271561,71736.3174110447,1,3,1,24,0.1,20000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9763897918297584,0.323310060130439,0.29133586468760786,0.32042807680201446,0.36462585034013606,0.3481848184818482,0.2895335608646189,0.3487312947299935,0.25044510385756674,0.3587033121916843,0.3820384889522452,65795.7706720803,1,3,1,24,0.1,30000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.8764172230095624,0.2926422531634396,0.29937933552391377,0.3062686567164179,0.27076923076923076,0.3889943074003795,0.2656654583117556,0.26018396846254926,0.2433234421364985,0.36152219873150104,0.28225231646471843,26265.164464318612,1,3,1,24,0.1,100000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9661780045377514,0.3322650923150982,0.374819520646838,0.33919210607462225,0.25216637781629114,0.46657081236520487,0.2729528535980149,0.26430517711171664,0.31322393822393824,0.44788273615635177,0.24109362054681027,66286.49232835848,1,3,1,24,0.25,20000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9294954914713066,0.31463886956402093,0.3341448569689592,0.34004884004884006,0.2553017944535073,0.45222405271828664,0.27197265625,0.25140562248995985,0.26496138996138996,0.4535830618892508,0.2593206296603148,47308.430710246146,1,3,1,24,0.25,30000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9535931213803074,0.3532446427631538,0.5053087757313109,0.1902198295199641,0.2580645161290323,0.4585135666535588,0.21178821178821178,0.29075804776739356,0.5627413127413128,0.17263843648208468,0.231980115990058,68865.61770790299,1,3,1,24,0.25,100000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.8964865593126248,0.3658518411689375,0.5227870289219982,0.2210446631339894,0.15265486725663716,0.5512939001848429,0.1846932321315623,0.18110236220472442,0.4970833333333333,0.27521206409048066,0.13193116634799235,62208.144101397644,1,3,1,24,0.5,20000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9247483809689352,0.37171727661666165,0.5205073995771671,0.2183960126869053,0.18584496870486278,0.5283261802575108,0.21029668411867364,0.1871968962172648,0.5129166666666667,0.22714420358152687,0.18451242829827916,62088.46581139983,1,3,1,24,0.5,30000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0703799755890684,0.4135543295490748,0.5469703131354209,0.24494032174364297,0.27846934071000456,0.534154090548054,0.27251732101616627,0.26892252894033836,0.5604166666666667,0.2224316682375118,0.2887189292543021,88049.98176913772,1,3,1,24,0.5,100000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9819186093087398,0.4497232941895341,0.6289001220149905,0.1657608695652174,0.18725761772853186,0.5983416252072968,0.21107266435986158,0.18490153172866522,0.662747979426892,0.13646532438478748,0.18967452300785634,84717.12496709356,1,3,1,24,0.8,20000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.043729448362596,0.43680515153413985,0.566859344894027,0.2661396574440053,0.21073044602456367,0.5960291734197731,0.21908893709327548,0.24847560975609756,0.5404114621601763,0.3389261744966443,0.1829405162738496,86300.88230912687,1,3,1,24,0.8,30000,0.0004,14
DecisionTreeClassifier-p1-tr3-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0214865298813223,0.46747944533639857,0.6533059266872216,0.1940700808625337,0.17411052233156696,0.612002567394095,0.18730489073881373,0.26744186046511625,0.7005878030859662,0.20134228187919462,0.12906846240179573,93065.66791598764,1,3,1,24,0.8,100000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.10164910964597,0.3685551233674479,0.3444556791371756,0.38053375196232336,0.37665967854647103,0.3113954905545399,0.3808925204274041,0.42274509803921567,0.385369532428356,0.38017565872020076,0.33963453056080656,72157.90890318729,2,3,1,24,0.1,20000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.1-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9108411732210648,0.3051594362271182,0.276580958999305,0.29089535323007176,0.3433648609916881,0.25644329896907214,0.36562203228869894,0.314931650893796,0.30015082956259426,0.24153074027603513,0.37744171392564585,68263.60044620284,2,3,1,24,0.1,30000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.1-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.1543290700703535,0.38901431389389773,0.3123329515082093,0.41231126596980255,0.4296848525923416,0.3163186388244393,0.3837837837837838,0.46480938416422285,0.30844645550527905,0.4454203262233375,0.39949590422180214,67861.92070187931,2,3,1,24,0.1,100000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.25-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0280901397213746,0.3436733052792378,0.35148514851485146,0.3570093457943926,0.31959564541213065,0.39803784162578837,0.31006493506493504,0.3336038961038961,0.3146814404432133,0.42070484581497797,0.30671641791044774,64232.57213807346,2,3,1,24,0.25,20000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.25-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9904380118269651,0.344182395361182,0.4729542302357836,0.18724559023066484,0.33023819136051674,0.4057913526378421,0.24381625441696114,0.3597185576077397,0.5667590027700831,0.15198237885462554,0.30522388059701494,70876.43814335778,2,3,1,24,0.25,30000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.055972231207596,0.36593790991837644,0.4896430145438519,0.29978947368421055,0.26653974297953353,0.40651298938894986,0.351431391905232,0.3679369250985545,0.6155124653739612,0.26138032305433184,0.208955223880597,91415.6752258169,2,3,1,24,0.25,100000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.5-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.08803128695565,0.37929681571299567,0.4396782841823056,0.30329153605015674,0.34506146672318777,0.4635149023638232,0.28455882352941175,0.3388842631140716,0.4181733889661567,0.32466442953020136,0.35146804835924006,75898.43484812393,2,3,1,24,0.5,20000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.5-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.1057005299616303,0.39112921844918597,0.47659574468085103,0.18526543878656557,0.44383934649421375,0.48625180897250364,0.26146788990825687,0.36629213483146067,0.4673157162726008,0.14345637583892618,0.5630397236614854,81115.60861066464,2,3,1,24,0.5,30000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.5-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,0.9577135115597597,0.32709627932855656,0.3553907586993725,0.29868578255675027,0.30363697030363695,0.4618235730170497,0.28430629264594387,0.24741707449700925,0.2888270746407047,0.3145973154362416,0.39291882556131263,61213.577317658914,2,3,1,24,0.5,100000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.8-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0350837351976736,0.4261120995778427,0.5805718613898883,0.24063904143784323,0.2138728323699422,0.5582665695557174,0.2422110552763819,0.24151436031331594,0.6047337278106509,0.2390873015873016,0.19190871369294607,81851.49307723837,2,3,1,24,0.8,20000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.8-max30000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0299939579245605,0.43843595819606906,0.6176470588235293,0.290753607696419,0.12159329140461216,0.5552407932011332,0.31517960602549244,0.18629550321199143,0.6958579881656805,0.2698412698412698,0.09024896265560166,91693.1009673565,2,3,1,24,0.8,30000,0.0004,14
DecisionTreeClassifier-p2-tr3-sw1-lw24-fa0.8-max100000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.0317831713402952,0.4362419609032953,0.6115552325581395,0.24432432432432435,0.17590361445783131,0.5668575277871337,0.2684085510688836,0.20977011494252873,0.663905325443787,0.22420634920634921,0.15145228215767634,92310.94667383382,2,3,1,24,0.8,100000,0.0004,14
DecisionTreeClassifier-p4-tr3-sw1-lw24-fa0.1-max20000-fee_flat14-fee_pct0.0004-#0,0,DecisionTreeClassifier,1.1753686014795004,0.41032994728530164,0.26500461680517085,0.4577777777777778,0.4525862068965517,0.2601994560290118,0.43923240938166314,0.48102094240837695,0.2699905926622766,0.4779582366589327,0.4273255813953488,76817.65210078846,4,3,1,24,0.1,20000,0.0004,14
