permutation,trial,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction,fee_pct,fee_flat
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#0,0,LogisticRegression,1.4121442889404956,0.4633862203026061,0.39589807333747673,0.5507156191661482,0.4655305964368706,0.4508138711960368,0.47786177105831534,0.48389694041867953,0.35290858725761776,0.6497797356828194,0.44850746268656716,168583.59372824748,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#1,1,LogisticRegression,1.3845983356749372,0.45235987974361713,0.3683536194746957,0.5518079611060468,0.4644367550941946,0.43659832953682615,0.4707102125453603,0.47898493259318004,0.3185595567867036,0.6666666666666666,0.4507462686567164,165333.0882097385,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#2,2,LogisticRegression,1.4153555795336974,0.4641678990014485,0.39478584729981375,0.5387647831800263,0.48180494905385735,0.4488355681016232,0.4875148632580262,0.47017045454545453,0.3523545706371191,0.6020558002936858,0.49402985074626865,170840.6013262942,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#3,3,LogisticRegression,1.384409698859359,0.4528014399184779,0.37316293929712463,0.5521057485398094,0.45914101102242494,0.44075471698113206,0.4748810153358012,0.4678543764523625,0.3235457063711911,0.6593245227606461,0.4507462686567164,169760.43026039138,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#4,4,LogisticRegression,1.378827355052029,0.4511862816995218,0.3736958583623143,0.5499700777977259,0.4551614188919888,0.43519882179675995,0.46414141414141413,0.48845166809238666,0.32742382271468146,0.6747430249632893,0.4261194029850746,165022.19510327798,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#5,5,LogisticRegression,1.3920804708265218,0.45780808189226485,0.39999999999999997,0.5433270082226439,0.44875346260387805,0.4375,0.4772222222222222,0.4776748104465038,0.3684210526315789,0.630690161527166,0.42313432835820897,164292.53023550264,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#6,6,LogisticRegression,1.411396080232778,0.46372225264970884,0.40172520024645714,0.541964866623292,0.46770601336302897,0.45246356696738377,0.48656542056074764,0.465288035450517,0.36121883656509696,0.6116005873715125,0.4701492537313433,167723.73625896472,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#7,7,LogisticRegression,1.3912072282824015,0.45595571625133985,0.38410174880763115,0.5530642750373692,0.454041204437401,0.4507462686567164,0.4664649520927887,0.4839527027027027,0.3346260387811634,0.6791483113069016,0.42761194029850746,162785.367845694,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#8,8,LogisticRegression,1.383751858643839,0.45348205981518225,0.3819728963126379,0.5453980099502488,0.4563809523809524,0.44298245614035087,0.47303128371089537,0.466147859922179,0.33573407202216066,0.643906020558003,0.4470149253731343,163613.81247826686,2,6,4,24,0.25,100000,0.0004,14
LogisticRegression-p2-tr6-sw4-lw24-fa0.25-max100000-fee_flat14-fee_pct0.0004-#9,9,LogisticRegression,1.4042271960707744,0.46046201231547984,0.3905325443786982,0.547282437951618,0.46641221374045805,0.44594594594594594,0.4783086216364635,0.47734375,0.3473684210526316,0.6395007342143906,0.45597014925373136,165209.63131484052,2,6,4,24,0.25,100000,0.0004,14
